id,name,url,test_type,duration_display,adaptive,remote_testing,languages,job_levels,description
4302,Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"A,B,C,D,E,P",Untimed/Variable,False,True,,Director; Entry-Level; Executive; General Population; Graduate; Manager; Mid-Professional; Front Line Manager; Supervisor,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top"
3827,.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,K,30 minutes,True,True,English (USA),Professional Individual Contributor; Mid-Professional,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security."
4094,.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,K,17 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas."
4099,.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,K,5 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start."
4018,.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,K,11 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF."
4016,.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,K,9 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications."
4165,.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,K,5 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts."
4178,Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,K,9 minutes,False,True,English (USA),Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries."
4187,Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,S,8 minutes,False,True,English (USA),Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor,Simulated data entry test that measures the ability to process payables and vendor invoices.
4179,Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,K,13 minutes,False,True,English (USA),Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor,Multiple-choice test that measures the knowledge of processing receivables and invoices.
4188,Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,S,8 minutes,False,True,English (USA),Entry-Level; Graduate; Mid-Professional; Professional Individual Contributor,Simulated data entry test that measures the ability to process receivables and invoices.
4168,ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,K,10 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects."
4019,Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,K,17 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects."
3778,Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,K,20 minutes,True,True,English (USA),Mid-Professional; Professional Individual Contributor,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web."
4069,Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,K,10 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion."
4004,Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,K,10 minutes,False,True,English (USA),Graduate; Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics."
4223,Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,K,7 minutes,False,True,English (USA),Graduate,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development."
4159,Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,K,13 minutes,False,True,English (USA),Mid-Professional; Professional Individual Contributor,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology."
4311,AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,P,16 minutes,False,True,English (USA),General Population,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.
